iter	Passed	Remaining
0	191	57340
1	439	65468
2	791	78379
3	1030	76244
4	1234	72812
5	1342	65772
6	1444	60470
7	1536	56072
8	1641	53070
9	1741	50497
10	1831	48107
11	1922	46131
12	2008	44337
13	2100	42906
14	2197	41756
15	2296	40761
16	2394	39861
17	2481	38877
18	2577	38125
19	2676	37472
20	2775	36873
21	2852	36050
22	2948	35512
23	3040	34964
24	3144	34589
25	3229	34032
26	3325	33620
27	3428	33300
28	3514	32839
29	3561	32057
30	3668	31832
31	3755	31448
32	3857	31210
33	3951	30911
34	4030	30516
35	4077	29903
36	4180	29713
37	4288	29565
38	4391	29388
39	4491	29197
40	4574	28898
41	4708	28924
42	4809	28745
43	4896	28489
44	4987	28265
45	5080	28055
46	5175	27859
47	5277	27708
48	5368	27500
49	5471	27357
50	5575	27221
51	5671	27050
52	5763	26860
53	5859	26695
54	5954	26522
55	6046	26344
56	6135	26158
57	6243	26051
58	6337	25887
59	6435	25742
60	6530	25585
61	6624	25430
62	6716	25265
63	6810	25112
64	6904	24963
65	7008	24847
66	7110	24727
67	7203	24577
68	7296	24428
69	7398	24308
70	7493	24169
71	7575	23990
72	7669	23850
73	7764	23714
74	7864	23593
75	7954	23443
76	8046	23303
77	8144	23180
78	8243	23060
79	8381	23049
80	8488	22951
81	8583	22819
82	8687	22712
83	8779	22576
84	8877	22454
85	8981	22350
86	9094	22265
87	9186	22130
88	9282	22007
89	9375	21876
90	9471	21753
91	9570	21638
92	9664	21511
93	9755	21378
94	9846	21247
95	9934	21110
96	10024	20979
97	10122	20864
98	10215	20740
99	10308	20617
100	10396	20484
101	10504	20390
102	10604	20281
103	10706	20176
104	10801	20060
105	10908	19964
106	11011	19861
107	11118	19765
108	11224	19669
109	11346	19597
110	11451	19499
111	11560	19405
112	11673	19317
113	11794	19243
114	11949	19222
115	12066	19139
116	12171	19038
117	12270	18926
118	12363	18805
119	12463	18694
120	12565	18589
121	12656	18466
122	12749	18346
123	12847	18235
124	12942	18119
125	13033	17998
126	13133	17890
127	13224	17770
128	13309	17642
129	13410	17536
130	13502	17419
131	13603	17313
132	13711	17216
133	13805	17102
134	13907	16998
135	14008	16893
136	14099	16775
137	14193	16662
138	14279	16539
139	14373	16426
140	14475	16323
141	14574	16216
142	14671	16108
143	14761	15991
144	14854	15878
145	14966	15787
146	15062	15677
147	15159	15568
148	15258	15463
149	15389	15389
150	15485	15280
151	15583	15173
152	15683	15067
153	15772	14953
154	15859	14836
155	15958	14730
156	16060	14628
157	16149	14514
158	16209	14374
159	16308	14270
160	16396	14155
161	16499	14055
162	16598	13950
163	16701	13849
164	16800	13746
165	16893	13636
166	16980	13523
167	17077	13418
168	17168	13308
169	17260	13199
170	17360	13096
171	17452	12987
172	17546	12881
173	17646	12778
174	17733	12667
175	17833	12564
176	17923	12455
177	18024	12354
178	18120	12248
179	18212	12141
180	18306	12035
181	18407	11934
182	18501	11828
183	18589	11719
184	18680	11612
185	18765	11501
186	18863	11398
187	18973	11303
188	19067	11198
189	19209	11121
190	19310	11020
191	19400	10912
192	19493	10807
193	19583	10700
194	19680	10597
195	19788	10499
196	19878	10393
197	19967	10286
198	20057	10180
199	20146	10073
200	20239	9968
201	20326	9861
202	20423	9758
203	20516	9655
204	20613	9552
205	20715	9452
206	20811	9350
207	20923	9254
208	21024	9154
209	21114	9049
210	21204	8943
211	21298	8840
212	21401	8741
213	21501	8640
214	21596	8538
215	21688	8434
216	21793	8335
217	21891	8234
218	21988	8132
219	22089	8032
220	22181	7929
221	22284	7829
222	22372	7725
223	22474	7625
224	22571	7523
225	22677	7425
226	22771	7323
227	22860	7219
228	22970	7121
229	23058	7017
230	23143	6913
231	23244	6812
232	23326	6707
233	23427	6607
234	23521	6506
235	23614	6404
236	23708	6302
237	23850	6213
238	23943	6111
239	24038	6009
240	24141	5910
241	24231	5807
242	24323	5705
243	24426	5606
244	24522	5504
245	24609	5402
246	24707	5301
247	24807	5201
248	24893	5098
249	24996	4999
250	25091	4898
251	25184	4797
252	25279	4696
253	25376	4595
254	25465	4493
255	25566	4394
256	25657	4292
257	25738	4190
258	25784	4081
259	25880	3981
260	25984	3882
261	26084	3783
262	26182	3683
263	26281	3583
264	26377	3483
265	26474	3383
266	26560	3282
267	26665	3183
268	26761	3083
269	26853	2983
270	26948	2883
271	27042	2783
272	27139	2684
273	27228	2583
274	27321	2483
275	27409	2383
276	27496	2283
277	27593	2183
278	27730	2087
279	27826	1987
280	27925	1888
281	28017	1788
282	28112	1688
283	28216	1589
284	28308	1489
285	28400	1390
286	28483	1290
287	28583	1190
288	28676	1091
289	28798	993
290	28905	893
291	29014	794
292	29124	695
293	29223	596
294	29333	497
295	29443	397
296	29539	298
297	29627	198
298	29730	99
299	29814	0
